username,location,text,created_at
schestowitz,North Pole,● NEWS ● #counterpunch #uk #eu #brexit ☞ #BrexitDay https://t.co/6aH1nX2jRN,2020-02-05
ABilling15,,"RT @addicted2newz: We did it! We're out! We have FINALLY left the EU! ✊🇬🇧🥳

#BrexitCelebration #BrexitDay #BrexitParty https://t.co/5IX7bFw…",2020-02-05
EuIndustries,,"RT @UKDemockery: Solidarity with the Boris Johnson fans in Parliament Square tonight

We can't stand for Muslamic infidels putting down Ira…",2020-02-05
JaneFeathersto1,London,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
olivieytruliey,"Brussels, Belgium","RT @UKDemockery: Solidarity with the Boris Johnson fans in Parliament Square tonight

We can't stand for Muslamic infidels putting down Ira…",2020-02-05
jonathantimar,Canada,I can't decide if #BrexitDay or #ImpeachedPresident is a more amusing source of sodium from the stupid factory.,2020-02-05
nakedcomedian,,"RT @Rachael_Swindon: I think Nigel Farage would rather you forget about this clip I’ve just put together. 

You probably won’t find a much…",2020-02-05
JohnMur15726107,"Milton Keynes, England",RT @DiyWest: The #bbcnews two idiots (the same two idiots who were on crying on #brexitday near 11pm) are on now looking all sad that Trump…,2020-02-05
LeedsUni7,University of Leeds,Will British Muslims face expulsion in post-Brexit Britain? https://t.co/dyIsIJdBlU    #Britishmuslims #postbrexit #brexitday #brexitEurope,2020-02-05
allybally121,Scotland,RT @JamesMelville: Today is a sad day. Brexit is what happens when a false sense of superiority combines with a false sense of victimhood.…,2020-02-05
DZANET6666,Рига,"RT @Conservatives: “When I look at the potential of this country waiting to be unleashed, I know that we can turn this opportunity into a s…",2020-02-05
2020Refugee,London UK,RT @JulietKilpin: What a lovely way to spend #BrexitDay at @2020Refugee with @PeacefulBorder2 @safepassageuk @Refugee_RE &amp; many more beauti…,2020-02-05
preshn9,,"RT @localnotail: It might be #BrexitDay but I fly this flag with pride in what we accomplished together in Europe

EU is a work in progress…",2020-02-05
wildwest1900,In The Heartland ,"RT @RealCandaceO: As many of you know, my husband is British and my father-in-law sits in the House of Lords. 
Safe to say the Farmer house…",2020-02-05
PastorJimberoo1,"Northern Ireland, United Kingdom",RT @paddyraffcomedy: A friend who isn’t on Twitter asked me if anybody was actually out celebrating #BrexitDay at 11 so I stuck on my recor…,2020-02-05
flappospammo,Little Fluffy Toys Ltd,RT @DiyWest: The #bbcnews two idiots (the same two idiots who were on crying on #brexitday near 11pm) are on now looking all sad that Trump…,2020-02-05
