username,source_freq_map
Brittany__Glee1,"{'Twitter for iPhone': 178, 'Twitter Web Client': 2}"
realdavidjames,"{'Instagram': 84, 'Twitter for iPhone': 36, 'Twitter for iPad': 36, 'Twitter Web Client': 24, 'Mobile Web': 15, 'Mobile Web (M2)': 2, 'Twitter Web App': 1}"
LPalermo92,"{'Twitter for iPhone': 150, 'Twitter for Android': 47, 'Twitter Web Client': 2}"
MrnSays,"{'Twitter for iPhone': 161, 'Instagram': 34, 'iOS': 5}"
ryan_topiary,"{'Untappd': 173, 'Twitter for iPhone': 27}"
Guleidos,"{'Twitter for Android': 82, 'Twitter Web Client': 61, 'Instagram': 14, 'Twitter for Websites': 13, 'LinkedIn': 12, 'Digsby': 5, 'TweetDeck': 4, ""Credly's Acclaim"": 2, 'TweetMeme': 1}"
037omar,"{'Twitter for iPhone': 176, 'Instagram': 7}"
xdivaatje,"{'Twitter for iPhone': 126, 'fllwrs': 74}"
Tordisho,{'Twitter for iPhone': 188}
TinaLovesLA,"{'Instagram': 94, 'Twitter for iPhone': 76, 'Vine - Make a Scene': 12, 'Twitter Web App': 8, 'iOS': 4, 'Hootsuite': 4, 'Twitter Web Client': 2}"
nophilterphil,{'Twitter for iPhone': 198}
Stenny_Tyas,"{'Twitter for BlackBerry®': 77, 'Twitter Web Client': 70, 'erased734497': 39, 'UberSocial for BlackBerry': 13, 'Twitter for iPhone': 1}"
Alita_L_Echelon,{'Twitter for Android': 200}
MassageWorld,"{'Facebook': 194, 'Hootsuite': 4, 'Twitter Web Client': 2}"
onedireectiion,"{'Twitter Web Client': 113, 'Echofon': 17, 'Twitition': 1}"
iIzzyiDizzy,"{'Twitter for iPhone': 184, 'Twitter Web Client': 3, 'Instagram': 2, 'Twitter Web App': 2}"
jeevan_herald,"{'Twitter for iPhone': 185, 'Twitter Web Client': 10, 'Twitter Web App': 5}"
call_me_Starr,{'Twitter for Android': 1}
Josethebumm,{'Twitter for iPhone': 196}
ProfDGeeveston,"{'Twitter for Android': 122, 'Twitter Web Client': 70, 'Twitter for iPhone': 5}"
metinaltinoz,"{'Foursquare': 35, 'Twitter for iPhone': 15, 'Twitter for Android': 10, 'Twitter Web Client': 7, 'Instagram': 1, 'Twitter for Websites': 1}"
eyetalic,"{'Echofon': 191, 'Twitter Web App': 4, 'Twitter for iPhone': 2, 'Twitter Web Client': 1}"
SamBullock77,{'Twitter Web Client': 195}
MsCeeCee_x0,"{'Google': 148, 'Twitter Web Client': 7, 'Twitter for BlackBerry®': 5, 'Twitter for Android': 2, 'iOS': 1, 'Mobile Web': 1, 'Twitter for iPhone': 1, 'Twitter Web App': 1}"
RickNugent1,{'Twitter Web Client': 200}
Ramon31Ramon,"{'Twitter for iPhone': 190, 'Twitter for Android': 4, 'Twitter for Android Tablets': 4, 'Twitter Web Client': 2}"
arainbowlyf,"{'Twitter for Android': 83, 'Mobile Web (M2)': 33, 'Twitter Web Client': 26, 'Tumblr': 20, 'SoundCloud': 14, 'Twitter for Websites': 9, 'Twitpic': 5, 'Pay with a Tweet': 4, 'Twitter Web App': 2, 'Vimeo': 1}"
BinnieKlein,"{'Twitter Web Client': 189, 'Twitter Web App': 7, 'Twitter for iPhone': 4}"
tylerst28,"{'Twitter for iPad': 109, 'Twitter for iPhone': 14, 'Vine - Make a Scene': 8, 'Twitter Web Client': 6, 'Photos on iOS': 2, 'Instagram': 1}"
honkytatanka,{'Twitter for iPhone': 1}
wasimscity,"{'Twitter for Android': 155, 'Twitter Web Client': 44}"
WashingtonShawn,"{'Twitter for iPhone': 141, 'Twitter Web Client': 15, 'Twitter for Websites': 6, 'Facebook': 4, 'Twitter for Android': 3, 'Instagram': 1}"
WaldoReillyf,"{'Hootsuite': 146, 'Twitter Web Client': 20, 'Twitter for Websites': 9, 'Competwitions': 7, 'Buffer': 5}"
xmlgrrl,"{'Tweetbot for iΟS': 104, 'TweetDeck': 51, 'Twitter for iPad': 42, 'Twitter Web App': 3}"
nthngrc,"{'Twitter for iPhone': 72, 'Twitter for Android': 34}"
CliffordMeurer,"{'Twitter Web Client': 134, 'TwitBird': 35, 'Echofon': 15, 'Twitter for iPhone': 5, 'Twitter for Websites': 4, 'Instagram': 2, 'Best Camera on the iPhone': 1, 'Mobile Web': 1, 'Photos on iOS': 1, 'a Ning Network': 1}"
40unfiltered,"{'Twitter for iPhone': 196, 'Twitter for iPad': 3}"
timleichter,"{'Hootsuite': 90, 'Reeder': 88, 'Instagram': 11, 'Foursquare': 7, 'Twitter for Websites': 2, 'Dropbox ': 1, 'XING': 1}"
V_Nitta,{'Twitter for iPhone': 193}
xoRebelle,"{'UberSocial for Android': 134, 'TweetDeck': 55, 'Twitter for iPhone': 4, 'Twitter Web Client': 4, 'Instagram': 2, 'Twitter for Websites': 1}"
XX_ImPretty,"{'Twitter Web Client': 136, 'Twitter for iPhone': 33, 'Twitter for Websites': 1}"
swmthewise,"{'TweetCaster for Android': 160, 'TweetCaster for iOS': 7, 'Rock the Vegas for Android': 4, 'Games With Friends': 2, 'mPLUS Rewards': 1, 'UberSocial for Android': 1, 'Twitter Web App': 1, 'Twitter for Android': 1}"
kennysmithed,"{'Twitter for iPhone': 196, 'Twitter Web App': 3, 'Twitter Web Client': 1}"
37145,{'TwitZip': 200}
DogsnFrys,"{'Twitter for iPad': 156, 'Twitter for Android': 36, 'Twitter Web Client': 6}"
JacobBennett,"{'Twitter for iPhone': 159, 'Twitter Web App': 40, 'IFTTT': 1}"
Queeniadore,"{'Twitter for iPhone': 108, 'Twitter Web Client': 4}"
Nick_Hewitt,"{'Twitter for iPhone': 127, 'Instagram': 64, 'Twitter for iPad': 4, 'Periscope': 3, 'Vine - Make a Scene': 1}"
yellowfishtweet,"{'Facebook': 99, 'Twitter Web Client': 17, 'Twitter for Websites': 14, 'Posterous': 5, 'Music+ (CarTunes) Player on iOS': 5, 'Pinterest': 3, 'Twitter for iPhone': 3, 'Pay with a Tweet': 1, 'Wefollow': 1}"
AishaGlen,"{'Twitter Web Client': 100, 'Twitter for iPhone': 53, 'Twitter for Websites': 29, 'Periscope': 3, 'Instagram': 1, 'Flipboard': 1, 'Mashable Follow': 1, 'TweetMeme': 1}"
garrett_reed313,"{'Twitter for iPhone': 93, 'Twitter Web Client': 53, 'Twitter for Android': 49, 'Vine for Android': 1}"
tamisailing,"{'LinkedIn': 114, 'Twitter Web Client': 20, 'Twitter for Websites': 4, 'TweetMeme': 1}"
Hawk__18,"{'Twitter for iPhone': 12, 'Twitter for Android': 1}"
Prrsaarschool,"{'Twitter Web Client': 169, 'Twitter for Websites': 30, 'Twackle.com': 1}"
_BelieberQueen,"{'Twitter Web Client': 168, 'Twitter for Android': 15, 'fllwrs': 15}"
Luv_You2,"{'Twitter Web Client': 168, 'Twitter for iPhone': 22, 'Polyvore': 1}"
AngeliqueAgony,"{'Twitter for Android': 96, 'Twitter for iPhone': 42, 'Twitter Web Client': 35, 'Instagram': 11, 'My Photobucket': 1}"
missalice569,{'Twitter for Android': 200}
psmanas,"{'Twitter for Android': 184, 'Twitter Web App': 9, 'Instagram': 4, 'Twitter Web Client': 1}"
Ty_gurr,"{'Twitter SMS': 180, ' Tweedle': 9, 'Mobile Web': 9, 'Twitter for Websites': 1, 'Twitpic on Android': 1}"
HicBiggidi,"{'Twitter Web Client': 167, 'syt server24': 2, 'Metwee UK-US': 1, 'free100app': 1}"
Writing_Center,"{'Twitter for iPhone': 101, 'Twitter Web Client': 43, 'Twitter Web App': 23, 'Hootsuite': 15, 'Instagram': 9, 'Twitter for Android': 9}"
CrawfordRobert,"{'Twitter for iPhone': 77, 'Twitter Web Client': 61, 'Twitter SMS': 11, 'Twitter for iPad': 2, 'The Official Voice App': 2, 'Mobile Web': 2, 'iOS': 1}"
tylerchernesky,"{'Twitter for iPhone': 133, 'Twitter Web App': 33, 'Twitter Web Client': 25, 'TweetDeck': 9}"
GRobinson10,"{'Twitter for iPhone': 182, 'Twitter Web App': 8}"
AK4G1,"{'Twitter for Android': 159, 'Twitter for iPhone': 14, 'Twitter for iPad': 11, 'TweetCaster for Android': 9, 'Twitter Web App': 3, 'Twitter Web Client': 3}"
MeaganTrush,"{'Twitter for iPhone': 99, 'Twitter Web Client': 80, 'Twitter Web App': 21}"
WhosBekh,"{'Twitter Web Client': 110, 'Twitter for BlackBerry®': 43, 'Twitter for BlackBerry': 35, 'Twitter for iPad': 11, 'Twitter for Websites': 1}"
evira93,{'Twitter for Android': 198}
Im_Rashelle,{'Twitter for iPhone': 192}
IanTilley,"{'Twitter for Android': 149, 'Instagram': 3, 'Foursquare': 2}"
vendhq,"{'AgoraPulse Manager': 140, 'Twitter Web Client': 30, 'Twitter Web App': 26, 'Twitter for iPhone': 2}"
NatalieLorriane,{'Twitter Web Client': 120}
reksamoedra,"{'Twitter for Android': 153, 'Twitter Web App': 46}"
joannebperez,{'Twitter for iPad': 198}
coversthespread,{'Twitter for Android': 200}
tweettweeps,"{'Twitter for BlackBerry®': 112, 'Twitter Web Client': 48, 'UberSocial for BlackBerry': 38, 'Who Unfollowed Me': 2}"
arunsingh33,"{'Twitter for Android': 54, 'Twitter Web Client': 43, 'Twitter for BlackBerry®': 41, 'Twitter for iPad': 4}"
Naeee_babii,"{'Twitter for Android': 177, 'Twitter for iPhone': 9, 'Twitter Web Client': 6, 'Photos on iOS': 5, 'Camera on iOS': 2}"
Killersbabe,"{'Twitter for iPhone': 50, 'Instagram': 46, 'Twitter Web Client': 41, 'Twitter for Websites': 8, 'Twitter for BlackBerry®': 7, 'Instagram on iOS': 4, 'iOS': 3, 'Amex UNSTAGED ft. The Killers': 2, 'Lockerz': 2, 'Spotify': 2, 'YouTube on iOS': 1}"
DylROK97,{'Twitter for iPhone': 195}
SassyNautilus,"{'Twitter Web Client': 97, 'Twitter for iPhone': 43, 'Twitter for Android': 36, 'Instagram': 19, 'Twitter for Websites': 2, 'GoFundMe': 2, 'Jackbox Games': 1}"
TashGetcheffsky,"{'Twitter for iPhone': 142, 'Instagram': 48, 'Instagram on iOS': 1, 'iOS': 1, 'Photos on iOS': 1}"
katgolden,"{'Instagram': 170, 'Twitter for iPhone': 14, 'Bible': 8, 'Periscope': 7, 'Twitter Web App': 1}"
_Monnicaaa,"{'Twitter for Android': 159, 'Plume for Android': 14, 'Instagram': 7, 'Twitter Web Client': 6, 'Twitter Web App': 1}"
AmandaLynnSuthe,"{'tvtag.com': 137, 'Twitter for iPad': 24, 'Instagram': 23, 'Twitter for Websites': 6, 'Twitter for iPhone': 6, 'Pinterest on iOS': 1, 'Twitter Web App': 1, 'Twitter Web Client': 1}"
kjacob11,"{'Twitter for Android': 127, 'Twitter for iPad': 32, 'Twitter for BlackBerry®': 15, 'Photos on iOS': 4, 'Twitter for Websites': 3, 'Twitter Web Client': 3, 'reverbtest': 2}"
EzWebb,{'Twitter Web App': 199}
efoodsdirectco,"{'Hootsuite': 124, 'Constant Contact': 43, 'Twitter Web Client': 28, 'Google': 4, 'Twitter for Websites': 1}"
elevenshades,"{'Twitter for iPhone': 89, 'Instagram': 68, 'TweetDeck': 42, 'Twitter for Websites': 1}"
Barbiecudich,"{'Twitter Web Client': 96, 'Twitter for iPhone': 84, 'iOS': 12, 'Instagram': 5, 'Twitter for Websites': 2}"
therealRizoe,"{'Twitter for Android': 125, 'Instagram': 53, 'SoundCloud': 16, 'Twitter Web Client': 2}"
FN__92,"{'Twitter for iPhone': 171, 'fllwrs': 15, 'Instagram': 7, 'Twitter Web Client': 4, 'Twitter Web App': 1}"
J0e_lee19,"{'Twitter for Android': 120, 'fllwrs': 78}"
Gary_Bowman1148,"{'Twitter for Android': 181, 'Instagram': 7, 'Twitter Web Client': 4, 'Vine for Android': 2, 'iOS': 1}"
_Tiffanaynay,{'Twitter for iPhone': 189}
Shelbbell,"{'Twitter for iPhone': 183, 'Pic Stitch on iOS': 5, 'Instagram': 4, 'iOS': 4, 'Photos on iOS': 2, 'Twitter Web Client': 1}"
Evans6180,"{'Mobile Web (M2)': 102, 'Twitter for BlackBerry®': 83, 'Twitter Web App': 12, 'Twitter for Websites': 1, 'Mobile Web': 1}"
admatthews,"{'IFTTT': 149, 'Twitter for Android': 37, 'Twitter Web Client': 11, 'Twitter Web App': 2, 'Instagram': 1}"
bentlegen,"{'Twitter Web App': 195, 'Twitter Web Client': 4}"
evinnuansa,"{'fllwrs': 142, 'Path': 48, 'Instagram': 8, 'Twitter for Android': 2}"
atikahrosmi,"{'fllwrs': 106, 'Twitter for Android': 70, 'Instagram': 7, 'Twitter Web Client': 5}"
ShaneFilanMusic,"{'Twitter for iPhone': 197, 'Twitter Web Client': 3}"
KeyKeyTea_14,"{'fllwrs': 176, 'Twitter for iPhone': 18, 'Twitter SMS': 5}"
JaqueSilva_,"{'Twitcom - Comunidades ': 148, 'Twitter for Android': 31, 'Instagram': 21}"
Da50Grand,"{'Echofon': 123, 'Instagram': 17, 'Twitter Web Client': 6, 'Echofon  Android': 2, 'UberSocial for iPhone': 1, 'Twitter for iPhone': 1}"
Mxlle_LOouloune,"{'Twitter Web Client': 83, 'Ask.fm': 11, 'Instagram': 6, 'Twitter for Websites': 1}"
kuhliyah,"{'Twitter for iPhone': 153, 'Instagram': 31, 'Twitter Web App': 7, 'Twitter Web Client': 1}"
RobynLeesF4T,"{'Twitter for Android': 199, 'Thunderclap': 1}"
gabbycarter2,"{'Twitter for iPhone': 139, 'Twitter Web Client': 55, 'Twitter for Websites': 1, 'Photos on iOS': 1}"
Blessed0ne5,"{'Twitter for Android': 193, 'Twitter Web App': 1, 'Twitter Web Client': 1}"
JosiahHopkins,"{'Instagram': 185, 'Twitter for iPad': 9, 'Twitter Web Client': 5, 'Gleam Competition App': 1}"
Anjarkartaputra,"{'TweetDeck': 84, 'Twitter for Android': 36, 'TweetCaster for Android': 21, 'Path': 14, 'Tweetings for  Windows': 12, 'erased4113706': 7, 'Slices Pro for Android': 6, 'Waze': 4, 'Twitter for BlackBerry®': 3, 'Twitter Web Client': 2, 'Twitter for Websites': 2, 'UberSocial for BlackBerry': 2, 'Instagram': 1, 'Twitter for iPad': 1, 'erased141680': 1, 'Circle App': 1}"
AnnaMedina_,"{'Twitter for Android': 9, 'Twitter for iPhone': 3}"
MelanieBieri,"{'Twitter for Android': 124, 'Twitter Web Client': 39, 'Twitter for  Android': 19, 'Instagram': 17, 'Twitter Web App': 1}"
Jenn_Skinner,"{'Instagram': 128, 'Twitter for Android': 34, 'Twitter Web Client': 28, 'Twitter for iPhone': 5, 'Twitter Web App': 2}"
reinvolt,"{'Twitter Web Client': 147, 'TweetDeck': 31, 'Hootsuite': 16, 'erased1832091': 4, 'Twitter for Websites': 2}"
CharleyEngels,"{'TweetDeck': 57, 'Twitter for iPad': 37, 'Twitter Web Client': 8, 'Mobile Web': 2}"
SexWithChaz,"{'Twitter Web Client': 189, 'Twitpic': 3, 'Twitlonger': 1, 'Spring.me': 1, 'erased_234897': 1}"
xanthehirst,"{'Twitter for Android': 188, 'Twitter for iPhone': 7, 'Twitter Web Client': 3}"
HabsDotCom,"{'Habs': 199, 'Social Proxy by Mailchimp': 1}"
icelsenbach,"{'Twitter for iPhone': 184, 'Twitter Web Client': 12, 'Twitter Web App': 3}"
BarrysNotes,"{'Facebook': 180, 'Twitter Web App': 19, 'Twitter for Android': 1}"
Shtefek_Burza,"{'Instagram': 177, 'Twitter for Android': 23}"
iloveheatonmoor,"{'Twitter for Android': 87, 'Twitter Web Client': 68, 'Paper.li': 44}"
carterspacky,"{'Twitter for iPhone': 57, 'Twitter Web App': 1}"
GOPJet,"{'Twitter for iPhone': 182, 'Twitter Web App': 14}"
campusecho,"{'WordPress.com': 182, 'Twitter for iPhone': 14, 'Instagram': 2, 'Twitter Web Client': 2}"
RioPinatik,"{'Twitter Web Client': 129, 'Twitter for BlackBerry®': 24, 'erased994719': 17, 'Twitter': 16, 'Path': 8, 'Twitter for Websites': 1, 'Mobile Web (M2)': 1}"
ReneeB_WIsports,{'Twitter for Android': 197}
MovenpickJo,"{'Twitter for iPhone': 99, 'Twitter Web Client': 83, 'Twitter Web App': 7, 'Mailchimp': 5, 'Twitter for Advertisers': 5}"
mmargoshka,"{'Twitter for iPhone': 155, 'Twitter Web Client': 19, 'Twitter for Websites': 11, 'Instagram': 6, 'Safari on iOS': 1, 'iOS': 1}"
RainbowGlory13,"{'Twitter Web Client': 122, 'Twitter for Android': 73, 'Twitter Web App': 4, 'Twitter for Websites': 1}"
BryanZvibleman,"{'Twitter for iPhone': 94, 'Twitter Web Client': 79, 'Mobile Web (M2)': 14, 'Twitter for Websites': 7, 'Twitter for iPad': 3, 'Twitter Web App': 2, 'iOS': 1}"
Almartin5,"{'Twitter for iPhone': 153, 'Instagram': 6, 'Vine - Make a Scene': 2}"
lennong,"{'Twitter for iPhone': 99, 'Twitter for iPad': 70, 'Twitter Web App': 16, 'Twitter Web Client': 15}"
kikutaknight,"{'twitterfeed': 124, 'Instagram': 27, 'Twitter for iPad': 18, 'Twitter Web Client': 10, 'RULES OF SURVIVAL': 7, 'Mobile Web': 6, 'iOS': 3, 'Twitter for Websites': 2, 'Flipboard': 1, 'Dropbox ': 1, 'Twitter for iPhone': 1}"
Tonymedina74,"{'Twitter for Android': 67, 'Twitter for iPhone': 53, 'Twitter Web App': 22}"
bigorangekitty,"{'Facebook': 161, 'Twitter for iPhone': 35, 'Weebly App': 3, 'Twitter Web App': 1}"
porchlight_co,{'Twitter Web Client': 1}
McClureDylan,"{'Twitter for iPhone': 170, 'Instagram': 5}"
darkzonemiked,{'Twitter Web Client': 200}
kdashjennerlove,"{'Twitter for Android': 121, 'Twitter for iPad': 54, 'Twitter Web Client': 25}"
ndah_rempiit,"{'Snaptu': 114, 'Twitter Web Client': 24, 'Mobile Web': 9}"
rahaf1999,"{'fllwrs': 178, 'Crowdfire Inc.': 22}"
Chiffyvvv,"{'TwitBird': 183, 'iOS': 2}"
KansasDeals,{'twitterfeed': 200}
JustKimKiWook,{'Crowdfire Inc.': 200}
Stef_VLASTOS,"{'Twitter Web Client': 117, 'Twitter for Android': 32, 'Instapaper': 13, 'Twitter for Websites': 5, 'Photos on iOS': 3, 'Twitter Web App': 1, 'OS X': 1, 'Bloomberg on iOS': 1, 'Camera on iOS': 1}"
nuyumjung_go,"{'Twitter for iPhone': 94, 'Twitter Web Client': 44, 'Twitter for Websites': 36, 'TweetDeck': 7, 'YouTube on iOS': 4, 'Flipboard': 2, 'TweetMeme': 2, 'Twitter for iPad': 1}"
RonnehRadke,"{'Echofon': 138, 'Twitter Web Client': 8}"
rockandrollbbq,"{'Twitter for Android': 196, 'Twitter Web App': 4}"
AdlerBrenda,"{'Twitter Web Client': 198, 'Ask.fm': 1}"
Duane_official,"{'Twitter for Android': 186, 'Periscope': 7, 'Twitter for iPad': 2, 'Twitter Web App': 1}"
TVD_addicts2,"{'Twitter Web Client': 145, 'Twitcom - Comunidades ': 55}"
shepardl123,"{'Twitter for iPhone': 154, 'iOS': 23, 'Bible': 18, 'Twitter for Websites': 3, 'myKLOVE': 1, 'Photos on iOS': 1}"
baileyfaye26,"{'Twitter for iPhone': 148, 'Instagram': 38, 'Instagram on iOS': 1}"
Boss_chick86,"{'Echofon': 141, 'Twitter for iPhone': 47}"
WmWallace_USA,"{'Facebook': 103, 'Twitter Web Client': 7, 'Twitter for Android': 3}"
Kirbie_Abbott_,"{'Twitter for iPhone': 159, 'Instagram': 1}"
philweinstein,"{'Twitter for iPhone': 139, 'AtmosphereReader': 54, 'Twitter for Android': 7}"
ActionDuchenne,"{'Hootsuite Inc.': 194, 'Twitter for iPhone': 3, 'Twitter Web App': 3}"
Ju_lissa23,"{'Twitter for Android': 181, 'Instagram': 4, 'Twitter Web App': 3, 'Twitter for Websites': 1, 'Twitter for iPhone': 1}"
alecksiss_,{'Twitter for iPhone': 198}
SFrost12,{'PlayStation(R)4': 17}
newsdoc,"{'TweetDeck': 112, 'Twitter for iPhone': 84, 'Twitter Web Client': 3, 'Twitter Web App': 1}"
phthSports,{'Twitter for iPhone': 200}
iamblue01,{'Twitter for Android': 195}
yopeyo,"{'Twitter for iPhone': 53, 'Twitter Web Client': 37, 'TweetChat': 31, 'LinkedIn': 22, 'SimplyTweet': 22, 'TwitrPix': 8, 'Twitter for Websites': 8, 'Camera on iOS': 7, 'Twitter for iPad': 2}"
UAID,"{'Twitter Web Client': 160, 'Twitter for iPhone': 24, 'Buffer': 12, 'Twitter for Android': 2, 'Twitter Web App': 1}"
stiletto_snake,{'Twitter for iPhone': 198}
Lumkile_Sy,"{'Twitter for Android': 143, 'Twitter Web App': 57}"
smmerotary,"{'Facebook': 191, 'Twitter for Android': 9}"
DanH_203,"{'GaggleAMP': 195, 'Twitter for iPhone': 5}"
neneLovEsYu13,"{'Twitter for iPhone': 101, 'Twitter Web Client': 19}"
mjabyers,"{'Twitter Web Client': 170, 'Twitter for Websites': 27, 'Mobile Web': 1, 'OS X': 1}"
adrienn_nemeth,"{'SocialToaster': 196, 'Twitter for Android': 4}"
BebbPEteach,"{'Twitter for iPhone': 177, 'Twitter for iPad': 17, 'Twitter Web App': 6}"
Bontrager,{'Sprout Social': 200}
rulurulu,"{'twitaddons': 140, 'Twitter for Android': 51, 'titleist event': 5, 'Twitter Web Client': 3, 'hantime': 1}"
judah_michael,"{'Twitter for iPhone': 183, 'Twitter for Android': 7, 'Twitter Web App': 2, 'iOS': 2, 'Twitter Web Client': 1}"
A_Jay728,"{'Twitter for iPhone': 174, 'Twitter for Android': 12}"
ShawtyRed859,"{'TweetCaster for Android': 114, 'Instagram': 59, 'Twitter for Android': 11, 'Twitter for Websites': 1, 'Twitter Web Client': 1, 'Mobile Web (M2)': 1}"
NewsEd_RIA,"{'Twitter for Websites': 150, 'Twitter Web Client': 50}"
Sean101m,"{'Twitter for iPhone': 170, 'Twitter for Android': 8, 'Twitter Web Client': 3, 'iOS': 1}"
PureCountry,"{'Facebook': 158, 'Twitter Web Client': 28, 'twitterfeed': 13, 'Twitter for Websites': 1}"
MissJtotheK,{'Twitter for iPhone': 200}
Adcuda_Chris,"{'Twitter Web Client': 120, 'Twitter for Websites': 17, 'Twitter for Android': 3}"
wwf_bulgaria,"{'Twitter Web Client': 88, 'Twitter Web App': 64, 'Buffer': 46, 'Twitter for iPhone': 2}"
maxalter,"{'Google': 69, 'Facebook': 62, 'via maxalter.com': 30, 'twitterfeed': 25, 'Big Videos Local': 9, 'Twitter for Websites': 3, 'Twitter Web Client': 2}"
ameezystuff,"{'Twitter for iPhone': 173, 'TwiAgeCom': 5, 'Twitter Web Client': 1, 'Mobile Web': 1}"
nhafadhila_,"{'Twitter Web Client': 114, 'Samsung Mobile': 14, 'Twitter for Websites': 1}"
maram_ahmed4,"{'TweetDeck': 66, 'Twitter Web Client': 45, 'Twitter for Websites': 3}"
JanineDiggSubs,{'Twitter Web Client': 200}
avaaguerra,"{'Twitter Web Client': 89, 'Twitter for Android': 65, 'Alcatel mTweet': 34}"
MrCharlesTurner,"{'Twitter Web Client': 105, 'Twitter for iPhone': 86, 'Facebook': 5, 'Twitter Web App': 2}"
BoerneHOTticket,"{'Facebook': 197, 'Google': 2, 'Twitter Web Client': 1}"
Daisya_Marie,{'Twitter for iPhone': 198}
septian05,"{'UberSocial for BlackBerry': 119, 'Tumblr': 46, 'Twitter for iPhone': 20, 'Twitter Web Client': 10, 'Instagram': 1, 'Path': 1}"
PicksAndGiggles,"{'Facebook': 190, 'Twitter for iPhone': 8, 'Instagram': 2}"
hayleighwrightx,{'Twitter for iPhone': 194}
IamShaunPatrick,{'TweetCaster for iOS': 200}
Tr3gottagetit,"{'Mobile Web (M2)': 151, 'Twitter Web Client': 21, 'Twitter for iPhone': 16, 'Twitter Web App': 4}"
EternalBlossom,"{'Twitter for iPhone': 199, 'Twitter Web App': 1}"
KadrieneM,"{'Twittascope': 199, 'Twitter Web Client': 1}"
LABloggers,"{'TweetDeck': 88, 'TweetGrid.com': 70, 'Twitter Web Client': 25, 'Hootsuite': 15, 'Twitter for Websites': 1, 'Pay with a Tweet': 1}"
sleeptodream1,"{'Twitter for iPhone': 109, 'Twitter for iPad': 87}"
panjo_malloya,"{'Twitter for BlackBerry®': 168, 'Mobile Web (M2)': 7, 'Twitter for Android': 6, 'CallApp': 2, 'Twitter Web Client': 2}"
amanda_chee,"{'Twitter for iPhone': 198, 'YouTube on iOS': 1, 'Photos on iOS': 1}"
CandyMama27,"{'Echofon': 130, 'Twitter Web Client': 57, 'TweetPhoto': 3, 'Yfrog': 1}"
hypfascination,"{'Instagram': 178, 'Twitter for iPhone': 19, 'Twitter Web App': 1, 'ipsy Official': 1}"
yas_dita,{'Twitter for iPhone': 199}
davieallenyoung,"{'Twitter for iPhone': 166, 'Twitter Web App': 34}"
LautonFunding,"{'twitRobot': 184, 'Twitter Web Client': 15, 'Twables': 1}"
DJBuseman,"{'Twitter for iPhone': 199, 'Twitter Web Client': 1}"
DailysPress,"{'Twitter Web Client': 171, 'NetworkedBlogs': 25, 'Pay with a Tweet': 1}"
EmsPound,"{'Twitter for iPhone': 100, 'Twitter Web Client': 54, 'Twitter for BlackBerry®': 36}"
GdnGrl,"{'Twitter for Android': 130, 'Mailchimp': 34, 'Twitter Web Client': 33, 'Instagram': 1, 'Twitter Web App': 1}"
MHaiqal96,{'Twitter for iPhone': 200}
PhilM227,"{'Twitter Web Client': 86, 'Twitter for iPhone': 73, 'Instagram': 17, 'Twitter for iPad': 12, 'Twitter Web App': 6}"
Serotisey,"{'Twitter for Android': 179, 'Twitter Web Client': 9, 'Twitter Web App': 2, 'Twitter for Websites': 1}"
Lee_Arran_Riley,"{'Twitter for iPhone': 140, 'Twitter for Android': 34, 'Instagram': 17, 'iOS': 1}"
rnmissy2005,"{'Twitter for iPhone': 122, 'Twitter Web Client': 28, 'erased858': 17, 'iOS': 6, 'Twitter for Websites': 3, 'Twitter Web App': 3, 'Instagram': 2, 'Mobile Web': 2}"
Olorunhudo,"{'Twitter for Android': 125, 'UberSocial for BlackBerry': 67, 'Twitter for BlackBerry®': 8}"
LoyleCarner,"{'Twitter Web App': 124, 'Twitter for iPhone': 54, 'Twitter Web Client': 21}"
Nuymariah,"{'UberSocial for BlackBerry': 134, 'Path': 33, 'Twitter for BlackBerry®': 27}"
AvinaeSuque,"{'Twitter for Android': 93, 'erased994719': 90, 'Instagram': 16}"
ChikaaLona,{'Twitter for BlackBerry®': 195}
researchinfo,"{'Twitter Web App': 155, 'RI Twitter Drupal module': 42, 'Twitter for iPhone': 3}"
islakhuniis,"{'Twitter Web Client': 66, 'Twitter for  Android': 65, 'erased994719': 49, 'Twitter Web App': 13, 'Twitter for Android': 6}"
mandhon,"{'Twitter for iPhone': 91, 'Path': 63, 'Twitter for Android': 30, 'Instagram': 2, 'Twitter Web Client': 1, 'Twitter for BlackBerry®': 1, 'Foursquare': 1}"
phonestab,"{'Buzzom': 160, 'Twitter Web Client': 3, 'Tweepi': 1}"
domgreeneshow,"{'Twitter for iPhone': 194, 'Twitter for iPad': 2, 'Twitter for Websites': 1, 'iOS': 1, 'Photos on iOS': 1}"
Hjwoods915,{'Twitter for iPhone': 191}
iason,"{'Twitter Web Client': 130, 'Twitter Web App': 69}"
thuggishJayy,{'Twitter for iPhone': 199}
bfbspatrick,"{'Twitter Web Client': 191, 'Twitter Web App': 9}"
syke0h,"{'erased37970': 54, 'TweetDeck': 41, 'Twitter Web Client': 26, 'Twitter SMS': 13, 'RIFTconnect App': 3, 'Gleam Competition App': 1, 'Woobox': 1, 'Social Campaigns': 1}"
clsrn11270,{'Twitter for Android': 200}
lora_bunny,"{'Twitter for Android': 151, 'Twitter for iPhone': 27}"
miamocale,"{'Twitter Web App': 156, 'Twitter for iPad': 30, 'Twitter Web Client': 13}"
