username,source_freq_map
Aethylred,"{'Twitterrific for iOS': 173, 'TweetDeck': 15, 'Twitter for iPhone': 12}"
TRSMRyersonU,"{'Twitter Web App': 199, 'Twitter Web Client': 1}"
ponder76,{'Twitter for Android': 200}
cafbtx,{'GrabInbox': 46}
msrainerain,{'Twitter for iPhone': 198}
AceValour,"{'Twitter for Android': 122, 'Twitter Web App': 78}"
LouanneGaffe,"{'Twitter for Android': 136, 'Twitter for iPhone': 3, 'Smule': 2}"
jenkoons,"{'Twitter Web Client': 149, 'Twitter for iPhone': 35, 'Twitter Web App': 15, 'Instagram': 1}"
newyorkbuzztap,{'buzztap': 200}
TomOrr777,{'Twitter Web Client': 188}
_paassiioonn,{'Twitter for iPhone': 193}
SixtaTaraborell,"{'dlvr.it': 150, 'RoundTeam': 46}"
jessicayounis,"{'iOS': 15, 'Twitter for iPhone': 2}"
_ThatkidZach,{'Twitter for iPhone': 199}
RetiredTeacherD,"{'Paper.li': 143, 'Instagram': 30, 'Twitter for Android': 26, 'SmartNews | スマートニュース': 1}"
EmpireGameNews,{'dlvr.it': 200}
BTLRadioNews,"{'Twitter Web App': 122, 'Hootsuite Inc.': 67, 'Twitter Web Client': 8, 'Twitter for iPhone': 3}"
BI_Strategy,"{'TweetDeck': 189, 'Business Insider Login': 11}"
dam3_un_beso,{'Twitter Web App': 191}
KimesRanchJeans,"{'SocialReport.com': 107, 'Social Autopilots': 59, 'Squarespace': 32, 'Twitter for iPhone': 2}"
WarOnTheRocks,"{'Hootsuite Inc.': 183, 'Twitter for Android': 17}"
breakingclenews,"{'GroupTweet': 199, 'Twitter for iPhone': 1}"
JLJ167,"{'Instagram': 197, 'Twitter for iPhone': 2, 'Twitter Web Client': 1}"
dirthelmet,"{'Twitter for iPhone': 186, 'Twitter Web App': 13}"
brxwnlouise,"{'Twitter for iPhone': 190, 'Twitter Web App': 1}"
Coralville_IA,"{'Twitter Web App': 147, 'TweetDeck': 34, 'Twitter Web Client': 13, 'Twitter for iPhone': 6}"
TMT_French,{'Twitter for iPhone': 189}
ArcticFox2016,{'SocialOomph': 10}
SteidlSteinberg,"{'HeyOrca': 143, 'HubSpot': 33, 'Sprout Social': 15, 'Twitter Web App': 9}"
CristyMandy,"{'Twitter for Android': 188, 'Twitter Web App': 3, 'Twitter Web Client': 1}"
clrdougherty,"{'Hootsuite Inc.': 155, 'Twitter Web App': 45}"
StripDeals,"{'dlvr.it': 136, 'Twitter Web Client': 56, 'Twitter for Android': 2}"
OnLocationEd,"{'Post Planner Inc.': 117, 'Twitter Web App': 65, 'Hootsuite Inc.': 18}"
sydeischens,{'Twitter for iPhone': 177}
English_Cocker,{'Twitter for iPhone': 198}
SpaceGodfather,"{'Twitter for Android': 162, 'Tweepsmap': 11, 'Twitter Web App': 7, 'Untappd': 6, 'Instagram': 3, 'TwiAgeCom': 3, 'PlayStation(R)4': 2, 'Pandora ': 2}"
JFedinPhilly,"{'Twitter for iPhone': 82, 'HubSpot': 70, 'Twitter Web App': 48}"
ReggieThompson1,"{'Twitter for iPhone': 192, 'Twitter Web App': 2}"
click89sure,"{'dlvr.it': 174, 'RoundTeam': 20}"
realtimesydney,"{'Hootsuite': 195, 'GroupTweet': 5}"
RamTechVCU,"{'Twitter Web Client': 67, 'Twitter for iPhone': 55, 'Twitter Web App': 44, 'Hootsuite Inc.': 34}"
KevinWGrossman,"{'Hootsuite Inc.': 168, 'Paper.li': 17, 'Instagram': 15}"
blaaaakey,"{'Twitter Web App': 111, 'Twitter for iPhone': 82, 'Twitter Web Client': 6}"
noragamis,{'Twitter for iPhone': 200}
TFYouWant,"{'Crowdfire Inc.': 183, 'Google': 14, 'Instagram': 1, 'Twitter Web Client': 1, 'Locket': 1}"
TheBrandonShire,"{'Paper.li': 199, 'Twitter Web App': 1}"
Samkrazzzy,{'Twitter for Android': 195}
Kris_Knox,"{'Twitter Web App': 163, 'Twitter for Android': 36}"
andymather88,"{'Twitter for iPhone': 146, 'Twitter Web App': 44, 'Instagram': 1}"
PhoenixCP,{'Phoenix Now': 200}
iAm_Makhubu,"{'Twitter for iPhone': 127, 'Twitter for Android': 63, 'fllwrs': 5, 'Tweepsmap': 1}"
P_Kindilien,"{'Twitter for iPhone': 164, 'Twitter for Android': 21}"
Varsha_Nair_,"{'1Dreamboy 2 Game': 79, 'Vine - Make a Scene': 57, 'Twitter for iPhone': 34, 'Google': 13, 'Vine for Android': 10, 'Instagram': 3, 'Twitter for Android': 2, 'Twitter Web Client': 1, 'Twitter for BlackBerry': 1}"
reginadailynews,"{'Hootsuite': 199, 'GroupTweet': 1}"
LacreshaHoggle,{'dlvr.it': 200}
too_blunted23,"{'Twitter for iPhone': 165, 'Twitter Web App': 16}"
bretmulligan,"{'Twitter Web Client': 117, 'Twitter for iPhone': 57, 'Twitter Web App': 19, 'Twitter for iPad': 7}"
Y2k87_,"{'Twitter for Android': 182, 'Twitter Web Client': 10, 'Twitter Web App': 8}"
BobKnightTweet,"{'Twitter for iPhone': 152, 'TweetDeck': 48}"
scandaryl,{'Twitter for iPhone': 192}
florrie1234,{'Twitter for iPhone': 198}
IndianapolisCP,{'Indianapolis Now': 200}
TheBigBunBun,{'Twitter for iPhone': 194}
rooksfeather,{'Twitter Web Client': 2}
dxniellejean,"{'Twitter for Android': 194, 'Twitter Web Client': 3}"
TempieLanehart,{'dlvr.it': 200}
leafsbuzztap,"{'Buffer': 114, 'buzztap': 86}"
dreamteamfc,"{'Twitter Web App': 140, 'Twitter for iPhone': 46, 'Twitter Media Studio': 9, 'Twitter for Android': 3, 'Twitter Web Client': 1, 'TweetDeck': 1}"
LeeAdamWilshier,"{'Twitter Web App': 161, 'Twitter Web Client': 39}"
LanitaWildey,"{'dlvr.it': 157, 'RoundTeam': 36}"
Speratti1D,"{'Twitter for iPhone': 147, 'Twitter for Android': 53}"
oceantay,{'Twitter for iPhone': 7}
BeardedReds,{'Twitter for iPhone': 197}
hodgmik1,"{'Twitter for iPhone': 193, 'Instagram': 2, 'Endomondo': 2, 'FreePrints - Photos Delivered': 1}"
belmontnews,"{'Hootsuite': 158, 'GroupTweet': 42}"
TehProGamer,{'dlvr.it': 200}
pacoschroeder,"{'IFTTT': 195, 'Twitter for iPhone': 4, 'Twitter Web Client': 1}"
ericf_7,"{'Twitter for iPhone': 104, 'Twitter Web Client': 31, 'Twitter for Android': 22, 'Instagram': 19, 'Twitter Web App': 18, 'Google': 5, 'iOS': 1}"
RhiannonDarling,{'Twitter for iPhone': 188}
BumpinUglies,"{'Twitter for iPhone': 112, 'Twitter Web Client': 38, 'Twitter for Android': 29, 'Twitter Web App': 4}"
Circa33,{'Facebook': 200}
tmckenney203,{'Twitter for Android': 199}
petergrossman,"{'Twitter for iPhone': 139, 'Twitter Web Client': 42, 'Twitter Web App': 7, 'Buffer': 5, 'Instagram': 3, 'TweetDeck': 3}"
kathniel_ivy,"{'IFTTT': 178, 'Twitter for Android': 15, 'TweetDeck': 4}"
SPORTalkEagles,"{'Twitter Web Client': 141, 'TweetDeck': 53, 'Twitter for iPhone': 6}"
kellycarberry,"{'Twitter for Android': 187, 'Instagram': 6}"
lllll71884119,{'ONE PIECE TREASURE CRUISE': 200}
MaryanneBigTi,"{'IFTTT': 183, 'Twitter Web App': 17}"
Lea_Maria__,"{'Twitter for iPhone': 197, 'Twitter for Android': 2}"
CoryBalducci,{'dlvr.it': 200}
Savvyheiden,{'Twitter for iPhone': 113}
GeorgeCochrane1,"{'Twitter for Android': 149, 'Twitter Web App': 51}"
hcarecomply,"{'Facebook': 65, 'Hootsuite': 64, 'Google': 57, 'AWeber Email Marketing': 10, 'LinkedIn': 4}"
RayWills_4,{'Twitter for iPhone': 194}
smartopian,"{'TweetDeck': 111, 'Twitter for iPhone': 84, 'Twitter Web App': 5}"
MassimoLandi7,"{'Twitter for iPhone': 139, 'Twitter Web Client': 50, 'Instagram': 7, 'Twitter for iPad': 4}"
ibeast2014,{'Twitter for iPhone': 193}
yskBaltimore,"{'WordPress.com': 199, 'TweetDeck': 1}"
ConciergeVacSer,"{'Hootsuite': 100, 'Twitter Web Client': 11, 'Google': 1}"
ECTritons,"{'Twitter for iPhone': 101, 'Twitter Web App': 58, 'TweetDeck': 31, 'Twitter for Android': 9, 'Production Truck App': 1}"
rama_beba,{'Twitter for Android': 195}
BrianFrmThe5th,{'Twitter for iPhone': 167}
bjbernstein,"{'Twitter for iPhone': 149, 'Twitter Web App': 35, 'Twitter Web Client': 14}"
West_Stand_O,"{'Echofon': 118, 'TweetDeck': 74, 'Twitter Web App': 4, 'Twitter for iPhone': 1}"
AndreaM1969,"{'Twitter for iPad': 181, 'Twitter for iPhone': 16, 'Twitter Web App': 3}"
