username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
unidosxdali,704993843293331456,2203,77,28.61038961038961,4,25524,18507,0,0,1,1,0,0,0,14,0,0,20,9160,0,0.06060606060606061,0.0,,0.08658008658008659,0.6038631419342079,,193,9,0,10343.67,303997005.0,11
vaccarellimann1,965638639345655809,388,459,0.8453159041394336,0,6558,4747,0,1,0,1,0,0,0,11,0,139,2,22498,30,0.007988380537400145,0.0,0.0055060408001584476,0.0014524328249818446,0.37132765564138115,0.0011883541295306,187,29,0,3779.757894736842,366139567.0,15
vale20152,3027927352,488,1061,0.4599434495758718,6,4225,6054,1,0,0,0,0,0,0,5,0,0,5,15952,0,0.00471253534401508,0.0,,0.00471253534401508,0.07710191159767031,,195,3,0,163770.14285714287,270638856.0,9
valedisco,2984400682,173,93,1.8602150537634408,0,2293,5005,0,0,0,0,0,0,0,8,0,34,10,22004,80,0.017204301075268817,0.0,0.007616487455197133,0.021505376344086023,1.6205626749153041,0.017921146953405017,192,6,0,135266.63819095478,268680886.0,9
valentinamoscon,422699535,236,142,1.6619718309859155,0,4915,6723,1,1,0,1,0,0,0,160,0,6,159,19826,0,0.013910624239262736,0.0,0.02112676056338028,0.013823682837767345,1.193330925725292,0.0,159,24,0,208634.775,169487019.0,15
federjcoart,923484261885374464,294,352,0.8352272727272727,2,5319,3403,0,1,0,1,0,0,0,26,0,26,3,312515,4,0.0015388257575757575,0.0,0.0029545454545454545,0.0001775568181818182,7.787953548644339,0.00045454545454545455,140,7,0,64703.27272727273,356089180.0,11
vasivas3,832346968101888002,149,300,0.49666666666666665,0,2001,2999,0,0,0,0,0,0,0,0,0,0,0,23137,0,,0.0,,,0.3895117845117845,,198,6,0,57558.83838383838,334360356.0,8
venus_in_furia,363954532,219,278,0.7877697841726619,8,2134,6592,1,1,0,1,0,0,0,7,0,3,0,25545,0,0.00014988009592326138,0.0,0.0017985611510791368,0.0,3.5341726618705036,0.0,31,5,79,99884.44,161654160.0,14
vuotodaria,3173307514,48,103,0.46601941747572817,1,3484,1081,0,0,0,1,0,0,0,12,0,16,0,44347,2,0.008961911874533234,0.0,0.008629989212513484,0.0,3.0753814147018033,0.0010787486515641855,132,0,0,112673.5321637427,276279839.0,10
wasitjustalie,251194177,2154,1093,1.970722781335773,12,125121,126868,1,1,0,1,0,0,0,0,0,0,0,1636735,0,,0.0,,,8.412754299577495,,165,14,0,99509.85393258427,144607734.0,13
