username,userid,nFollowers,nFollowings,FollowersToFollowing,nLists,nFavs,nPosts,geo,location,url,description,verified,bot_in_name,bot_in_des,fav_tweets,fav_retweets,fav_replies,ret_tweets,ret_retweets,ret_replies,pop_fav_tweets,pop_fav_retweets,pop_fav_replies,pop_ret_tweets,pop_ret_retweets,pop_ret_replies,nPostMention,nPostQuote,nPostPlace,Tavg,age,screen_name_len
OiPolloi,34246396,28143,430,65.44883720930233,245,542,10913,0,1,1,1,0,0,0,1429,0,0,90,0,0,0.01661627906976744,,,0.0010465116279069768,,,0,0,0,69276.885,87478523.0,8
McLarenGroup,1157888113,28151,328,85.82621951219512,286,382,1991,1,1,1,1,0,0,0,4586,0,0,497,44724,0,0.27415112386417984,0.0,,0.02971066475370636,0.9151252250777542,,172,9,0,165496.625,207339256.0,12
WeRSM,371238397,28130,10173,2.7651626855401554,1280,74676,36772,0,1,1,1,1,0,0,188,0,5,59,12,0,0.00010098519653706722,0.0,4.095809168059242e-05,3.1692162743015774e-05,0.00023591860808021232,0.0,24,12,0,24559.795,162739390.0,5
cex_io,1920515281,28102,176,159.67045454545453,591,364,9674,0,1,1,1,0,0,0,1433,0,66,427,0,5,0.11002764127764127,,0.0029761904761904765,0.032785626535626534,,0.00022546897546897547,126,12,0,41868.465,227634646.0,6
BulkPowders,38643241,28058,16,1753.625,137,9317,21780,0,1,1,1,1,0,0,374,0,45,61,316,3,0.25407608695652173,0.0,0.026285046728971962,0.041440217391304345,19.75,0.0017523364485981308,118,8,0,24766.505,88858350.0,11
blacks_online,22120736,28286,2905,9.737005163511187,275,5495,12072,1,1,1,1,1,0,0,1221,0,13,884,18197,0,0.003502581755593804,0.0,0.00010914739095755846,0.002535857716580608,0.16061609073657265,0.0,90,5,2,92530.355,82801015.0,13
mountaindewUK,131155619,28008,595,47.07226890756303,53,851,2757,1,1,1,1,1,0,0,8400,0,609,9582,0,57,0.7843137254901961,,0.005623787976729153,0.8946778711484594,,0.0005263643919106104,177,1,0,199177.82,117895456.0,13
MyVoucherCodes,16864428,27993,2976,9.40625,328,1423,18236,1,1,1,1,1,0,0,87,0,0,30,0,0,0.0001461693548387097,,,5.040322580645161e-05,,,11,0,0,126616.8,71572032.0,14
MakeArchitects,245750161,28013,2308,12.13734835355286,440,6036,5916,1,1,1,1,1,0,0,497,0,53,232,462,19,0.001957617772175831,0.0,0.0013508002854521358,0.0009138175515991806,0.002742100140072648,0.00048424915893567134,132,17,2,63226.255,143638780.0,14
integrated_pr,57266343,27947,815,34.29079754601227,127,305,10622,1,1,1,1,0,0,0,622,0,14,120,53,0,0.004263632313123351,0.0,0.0011451942740286299,0.0008225657195736367,0.010838445807770962,0.0,185,1,80,178804.035,94805415.0,13
leonrestaurants,39734835,27952,1849,15.11736073553272,254,17728,45115,1,1,1,1,1,0,0,79,0,85,11,0,2,0.0022487261962369416,,0.00025398229295214077,0.0003131137741595742,,5.976053951815077e-06,184,1,0,9855.375,89294003.0,15
firebox,15083005,27892,890,31.339325842696628,498,12366,19436,1,1,1,1,1,0,0,223,0,190,16,31,9,0.003055631679912305,0.0,0.002372034956304619,0.00021923814743765417,0.001290054099042863,0.00011235955056179776,123,21,0,22466.065326633165,60252157.0,7
productions_mb,2250992702,27891,5205,5.35850144092219,30,559,810,1,1,0,1,0,0,0,111,0,26,47,42393,9,0.00028818443804034583,0.0,0.00021718247504489828,0.00012202404133239867,0.08573335355680267,7.517854905400326e-05,160,31,1,645742.4270833334,234393967.0,14
TheRangeUK,49934559,27920,75,372.26666666666665,120,3719,20588,1,1,1,1,0,0,0,303,0,14,103,0,1,0.04590909090909091,,0.0016666666666666668,0.015606060606060606,,0.00011904761904761905,113,1,0,9630.82,92828656.0,10
officialmal_,706878260190298112,27891,258,108.1046511627907,21,1798,1232,1,1,1,1,1,0,0,41562,0,37,2124,152465,2,1.2585392441860466,0.0,0.028682170542635662,0.06431686046511628,8.820143468702996,0.0015503875968992248,94,51,2,190526.78,304446285.0,12
Pukkaherbs,50610753,27798,1544,18.003886010362695,386,12621,12325,1,1,1,1,1,0,0,456,0,82,91,10,8,0.006283761437548231,0.0,0.00035643495496748615,0.0012539962517914233,0.0016191709844559584,3.477414194804743e-05,156,2,0,69047.315,93004536.0,10
WilliamHillUS,339931361,27768,1053,26.37037037037037,566,1242,9837,1,1,1,1,1,0,0,747,0,51,422,49,22,0.00448988423671968,0.0,0.0013090013090013089,0.0025364540132472623,0.009306742640075975,0.000564667231333898,33,2,0,12831.17,158363840.0,13
vango,91305664,28227,1060,26.629245283018868,414,4150,28588,1,1,1,1,1,0,0,1705,0,9,1198,30,0,0.009036463854144585,0.0,0.0004994450610432853,0.00634937460250159,0.005660377358490566,0.0,67,1,0,37475.945,105787885.0,5
HelloFreshUK,436611193,27753,9043,3.06900364923145,211,17991,68742,1,1,0,1,1,0,0,9,0,56,3,0,2,0.00024881123520955435,,3.159507748692754e-05,8.293707840318478e-05,,1.1283956245331262e-06,196,0,0,5241.08,170937838.0,12
DermalogicaUK,469223400,27713,2262,12.25154730327144,120,24022,12463,1,1,1,1,1,0,0,1290,0,343,494,49,4,0.004255908784987529,0.0,0.004098262718952374,0.0016297821238634414,0.0007736516357206013,4.7793151241427105e-05,71,27,0,35200.14070351759,174135953.0,13
BHS_UK,246817496,27628,4114,6.715605250364609,168,62,1191,0,0,1,1,1,0,0,212,0,19,52,22,0,0.0006134685279070305,0.0,4.276274329750266e-05,0.00015047341250549808,0.0006684491978609625,0.0,113,0,0,362003.63,143822840.0,6
findmeagift,18815068,27595,1741,15.850086157380815,92,2118,13846,1,1,1,1,0,0,0,232,0,12,61,7,4,0.0009726769999622668,0.0,0.00011682356720762469,0.000255746969817665,0.0010051694428489374,3.8941189069208225e-05,62,1,0,167200.275,78612964.0,11
ClearBooks,17872297,27582,1793,15.383156720580033,228,814,4743,1,1,1,1,1,0,0,65,0,95,24,168,63,0.000503501270372436,0.0,0.0007358864720827911,0.00018590816136828406,0.0016731734523145567,0.0004880089235917457,148,11,0,319282.695,75489138.0,10
The_Pig_Hotel,126369654,27577,730,37.776712328767125,270,6457,5238,1,1,1,1,0,0,0,1228,0,1,294,186,0,0.01274387712743877,0.0,0.00045662100456621003,0.003051058530510585,0.003981164383561644,0.0,93,11,0,72774.43216080402,116615060.0,13
LushKitchen,2253549757,27536,258,106.72868217054264,63,5017,22351,1,1,1,1,1,0,0,3500,0,103,557,284,15,0.16543770088863677,0.0,0.0037310729551546765,0.026328228398563056,0.10007047216349542,0.0005433601391001956,103,0,0,73914.48,234538758.0,11
MacdonaldHotels,21593918,27546,865,31.845086705202313,497,3363,13282,0,0,1,1,1,0,0,198,0,5,62,0,0,0.0016587082181452625,,9.323140033563304e-05,0.0005193934824495267,,0.0,64,3,0,83853.5,82412097.0,15
ExperianExperts,1342148462,27534,751,36.66311584553928,99,939,21401,1,1,1,1,1,0,0,2,0,19,1,1,1,0.0013315579227696406,0.0,0.0001284243681859044,0.0006657789613848203,0.0013315579227696406,6.759177272942337e-06,198,0,0,14801.14,212685100.0,15
Ebuyer,20662765,27538,11864,2.321139581928523,476,1647,14310,0,1,1,1,0,0,0,817,0,6,1929,2141,0,0.00047822076121974974,0.0,2.9748919122605215e-05,0.0011291160935041583,0.004627228244895136,0.0,84,1,0,119229.16,81506843.0,6
AskUnum,297522407,27535,1009,27.289395441030724,343,1243,20284,1,0,1,1,1,0,0,168,0,35,84,2261,8,0.0024130650234842938,0.0,0.0014453254046911132,0.0012065325117421469,0.020942359882552355,0.0003303600925008259,136,18,0,212950.06,152298461.0,7
Bettys,753457778,27531,990,27.80909090909091,224,12327,14986,1,1,1,1,1,0,0,1425,0,174,227,1,9,0.038902538902538905,0.0,0.0010849233071455295,0.006197106197106197,0.00101010101010101,5.6116722783389444e-05,167,6,0,15646.18,191870153.0,6
RENskincare,29685344,27442,2161,12.69875057843591,254,4005,9713,1,1,1,1,1,0,0,577,0,9,104,430,1,0.002282102698576553,0.0,0.00010157898895046332,0.0004113322021697773,0.004737665542848328,1.1286554327829258e-05,106,18,1,112442.1,86263492.0,11
BasketsGalore,28128986,27479,681,40.350954478707784,52,2539,5890,1,1,1,1,0,0,0,16613,0,3,17086,2,0,0.13045458471734708,0.0,0.0003671071953010279,0.1341688457521575,0.002936857562408223,0.0,108,0,0,40209.315,85679051.0,13
ustwo,255979502,27436,1011,27.137487636003957,845,3630,3878,1,1,1,1,1,0,0,1475,0,2,396,285,0,0.009473711254126684,0.0,0.00039564787339268055,0.002543450614667232,0.006875588043714265,0.0,88,13,1,103687.605,145455173.0,5
OVOEnergy,135180054,27395,4925,5.56243654822335,288,11261,44214,1,1,1,1,1,0,0,83,0,11,29,6,1,0.001532071988924781,0.0,1.1880332649314181e-05,0.0005353022611905861,0.001218274111675127,1.0800302408467437e-06,193,2,0,13981.835,118855069.0,9
gonortheast,55795401,27325,534,51.170411985018724,206,1960,123821,1,1,1,1,1,0,0,135,0,14,24,1,0,0.0022176227084565346,0.0,0.00030843798193434677,0.00039424403705893944,0.0018726591760299626,0.0,98,0,0,1871.145,94381686.0,11
Everything5,259965379,27280,2813,9.697831496622822,86,4019,12417,0,1,1,1,0,0,0,235,0,10,29,86137,2,0.0005002437357776449,0.0,0.00012696155604083084,6.173220569170936e-05,7.655261286882332,2.5392311208166168e-05,77,1,0,24893.633165829146,146186658.0,11
MAMBABYUK,163918241,27234,3095,8.79935379644588,108,1134,9429,0,1,1,1,0,0,0,144,0,9,32,1,0,0.0002736862111565143,0.0,0.00010027296529441258,6.0819158034780955e-05,0.00032310177705977385,0.0,30,0,0,38087.735,125596962.0,9
silentnightbeds,52011358,27252,2913,9.355303810504635,124,6099,12455,1,0,1,1,0,0,0,28149,0,1119,39541,21,257,0.10736926421787389,0.0,0.0038414006179196703,0.1508219857344471,0.0007209062821833162,0.0008822519739100583,86,0,0,50514.04,93346653.0,15
